seq_name,PseEIIP_LightGBM_label,PseEIIP_LightGBM_score,TNC_LightGBM_label,TNC_LightGBM_score,DNC_LightGBM_label,DNC_LightGBM_score,CKSNAP_LightGBM_label,CKSNAP_LightGBM_score,PCPseDNC_LightGBM_label,PCPseDNC_LightGBM_score,PCPseTNC_LightGBM_label,PCPseTNC_LightGBM_score,SCPseDNC_LightGBM_label,SCPseDNC_LightGBM_score,SCPseTNC_LightGBM_label,SCPseTNC_LightGBM_score,DACC_LightGBM_label,DACC_LightGBM_score,Sequence-based_single-layer_label,Sequence-based_single-layer_LightGBM_score,Physicochemical property_single-layer_label,Physicochemical property_single-layer_LightGBM_score,two-layer_model_label,two-layer_model_score
>mRNALoc_8371#319560,Extracellular Region,0.7241113257199849,Extracellular Region,0.7241113257199849,Nucleus,0.442778317433465,Extracellular Region,0.6688094713020828,Nucleus,0.44809975113994044,Extracellular Region,0.7117567504381382,Extracellular Region,0.5792357974897078,Extracellular Region,0.6945486816577343,Extracellular Region,0.716854506413523,Extracellular Region,0.6012700170802798,Extracellular Region,0.4901016038273771,Extracellular Region,0.5271577415783447
>mRNALoc_3180#16516,Extracellular Region,0.5155328760300475,Extracellular Region,0.5155328760300475,Extracellular Region,0.4542833631036691,Extracellular Region,0.7083523864307941,Extracellular Region,0.4520266682232322,Extracellular Region,0.6021434072863685,Extracellular Region,0.43351539733576133,Extracellular Region,0.47630096633767255,Extracellular Region,0.4458520473358443,Extracellular Region,0.48196769730377576,Extracellular Region,0.43874030031891165,Extracellular Region,0.45314943264719965
>mRNALoc_7650#276770,Extracellular Region,0.4928723369534196,Extracellular Region,0.4928723369534196,Extracellular Region,0.512297630051724,Cytoplasm,0.40478207648505904,Extracellular Region,0.5230622186625329,Extracellular Region,0.5258705334813862,Extracellular Region,0.4959101484721141,Extracellular Region,0.5095568560335957,Extracellular Region,0.6331858218883976,Extracellular Region,0.5375171157076053,Extracellular Region,0.3721345577492561,Extracellular Region,0.42726207706870584
>mRNALoc_14104#65009,Cytoplasm,0.4132953303605879,Cytoplasm,0.4132953303605879,Cytoplasm,0.6762216023412012,Cytoplasm,0.6599948302289746,Cytoplasm,0.7000671811076693,Extracellular Region,0.43079670143074394,Cytoplasm,0.6449852106803433,Cytoplasm,0.49471473298237073,Cytoplasm,0.5217315968538322,Cytoplasm,0.5568476873967346,Cytoplasm,0.4325614186582703,Cytoplasm,0.4739901749044251
>mRNALoc_19968#98758,Extracellular Region,0.6539816827486966,Extracellular Region,0.6539816827486966,Nucleus,0.42791508106349446,Nucleus,0.4179635066289353,Nucleus,0.4901115720544339,Extracellular Region,0.4231152085598997,Nucleus,0.5935214712676129,Extracellular Region,0.5833621530317109,Nucleus,0.6130165438707147,Nucleus,0.45863677299739913,Extracellular Region,0.38782926298778825,Extracellular Region,0.3703431996533084
>mRNALoc_12630#56397,Extracellular Region,0.5190493439408873,Extracellular Region,0.5190493439408873,Cytoplasm,0.42654565486594237,Extracellular Region,0.6800882930856559,Nucleus,0.44434884322806123,Extracellular Region,0.4421816772459862,Nucleus,0.42021964366042064,Extracellular Region,0.5172465210897703,Extracellular Region,0.4507138135003593,Extracellular Region,0.3657677006781984,Extracellular Region,0.3873067781815752,Extracellular Region,0.38012708568044956
>mRNALoc_4523#20679,Nucleus,0.3936755793725562,Nucleus,0.3936755793725562,Nucleus,0.4971811221136425,Cytoplasm,0.3575911185231527,Nucleus,0.48385537489931013,Nucleus,0.3827511902054204,Cytoplasm,0.45924343676744345,Nucleus,0.34409741300008717,Nucleus,0.41531766345721616,Nucleus,0.3978191744971177,Nucleus,0.3254459958003598,Nucleus,0.3495703886992791
>mRNALoc_4536#207181,Extracellular Region,0.5781422861533196,Extracellular Region,0.5781422861533196,Cytoplasm,0.41674958379621135,Extracellular Region,0.6623106920741028,Cytoplasm,0.5700838797924432,Extracellular Region,0.4644957140706256,Extracellular Region,0.5996809054517483,Extracellular Region,0.651338230565137,Cytoplasm,0.5069149490485705,Extracellular Region,0.45809861565792664,Extracellular Region,0.4470334125669952,Extracellular Region,0.4507218135973057
>mRNALoc_12235#554327,Extracellular Region,0.790169735263134,Extracellular Region,0.790169735263134,Extracellular Region,0.36030426066204746,Extracellular Region,0.6012244386798389,Extracellular Region,0.35866758455143755,Extracellular Region,0.7164162906967265,Extracellular Region,0.5193226585163601,Extracellular Region,0.8006409534797972,Extracellular Region,0.5113394398725777,Extracellular Region,0.5812773854233798,Extracellular Region,0.5083736339736309,Extracellular Region,0.5326748844568806
>mRNALoc_17539#80890,Nucleus,0.4880939591007877,Nucleus,0.4880939591007877,Nucleus,0.5760176862272087,Nucleus,0.4432366028594701,Nucleus,0.5877318712742897,Nucleus,0.5381926972677301,Nucleus,0.5539264104828773,Nucleus,0.5645115986043643,Nucleus,0.39539813170419535,Nucleus,0.5279521418666914,Nucleus,0.3990884414576509,Nucleus,0.4420430082606644
>mRNALoc_4545#20729,Extracellular Region,0.5075069308961531,Extracellular Region,0.5075069308961531,Nucleus,0.7208280118811613,Extracellular Region,0.5027397532981214,Nucleus,0.7220413809846179,Nucleus,0.6183192822285078,Nucleus,0.8110618232968834,Nucleus,0.6454386088356829,Nucleus,0.6167213757749168,Nucleus,0.6827164942241218,Nucleus,0.39818840095385116,Nucleus,0.4930310987106081
>mRNALoc_8443#320604,Extracellular Region,0.584693838222906,Extracellular Region,0.584693838222906,Extracellular Region,0.3279782080403045,Extracellular Region,0.7344773349606789,Extracellular Region,0.4240979237838633,Extracellular Region,0.5713518309833143,Extracellular Region,0.5236203579995038,Extracellular Region,0.5727396946652924,Extracellular Region,0.5049752571481246,Extracellular Region,0.5193570129160197,Extracellular Region,0.4463686438893591,Extracellular Region,0.47069810023157926
>mRNALoc_6080#233079,Cytoplasm,0.39865176469997626,Cytoplasm,0.39865176469997626,Cytoplasm,0.6840913597262981,Extracellular Region,0.36952189915431893,Cytoplasm,0.6221432054921598,Cytoplasm,0.5709876529498379,Cytoplasm,0.6088273793654647,Cytoplasm,0.3820796353446874,Cytoplasm,0.5828452167509804,Cytoplasm,0.5533766179806261,Cytoplasm,0.3650907017243645,Cytoplasm,0.427852673809785
>mRNALoc_16177#74326,Nucleus,0.4153447577014657,Nucleus,0.4153447577014657,Nucleus,0.6284193465380712,Nucleus,0.6014732259306412,Nucleus,0.623088641621942,Nucleus,0.45629494961898354,Nucleus,0.5009200909362946,Nucleus,0.4195968183878676,Nucleus,0.3307537789903564,Nucleus,0.4661308559110888,Nucleus,0.41211641757432876,Nucleus,0.43012123035324884
>mRNALoc_1797#12394,Extracellular Region,0.42316769178542396,Extracellular Region,0.42316769178542396,Cytoplasm,0.3901221923160207,Extracellular Region,0.3430381385044704,Cytoplasm,0.38853967931195643,Extracellular Region,0.43850958910374305,Cytoplasm,0.41895711864442203,Extracellular Region,0.40025767089704073,Cytoplasm,0.39336945047824784,Cytoplasm,0.3904611650387062,Extracellular Region,0.2881272108695108,Cytoplasm,0.31156605739979526
>mRNALoc_16613#77031,Extracellular Region,0.5942795453651248,Extracellular Region,0.5942795453651248,Cytoplasm,0.5135897780987158,Extracellular Region,0.47960848137184675,Cytoplasm,0.4651630574559294,Extracellular Region,0.5113353527420517,Extracellular Region,0.40550483162596057,Extracellular Region,0.46370322818402954,Extracellular Region,0.4371600742677816,Extracellular Region,0.4455510144188475,Extracellular Region,0.4023158930723244,Extracellular Region,0.4167276001878321
>mRNALoc_432#103583,Nucleus,0.699336140339403,Nucleus,0.699336140339403,Nucleus,0.6189814956896663,Nucleus,0.6132778572880938,Nucleus,0.6364939371788892,Nucleus,0.6548741678797827,Cytoplasm,0.39079657728149586,Extracellular Region,0.44910390510960546,Nucleus,0.5336898425803546,Nucleus,0.5087483248662853,Nucleus,0.5261863267313133,Nucleus,0.5203736594429706
>mRNALoc_3438#17318,Extracellular Region,0.7176974849943403,Extracellular Region,0.7176974849943403,Extracellular Region,0.7405736592849819,Extracellular Region,0.8028145895197659,Extracellular Region,0.6734349753475602,Extracellular Region,0.6841078232532698,Extracellular Region,0.5957607787798127,Extracellular Region,0.7424830477935034,Extracellular Region,0.7294586062162332,Extracellular Region,0.6850490462780758,Extracellular Region,0.5957566437586858,Extracellular Region,0.6255207779318158
>mRNALoc_5513#22631,Extracellular Region,0.5685743551568359,Extracellular Region,0.5685743551568359,Nucleus,0.40711248776056447,Extracellular Region,0.383416054103259,Nucleus,0.4902624019088332,Extracellular Region,0.5161143529397476,Nucleus,0.38906422943554686,Extracellular Region,0.641202260806783,Nucleus,0.46110221839210924,Nucleus,0.39327703119048296,Extracellular Region,0.3566380903041314,Extracellular Region,0.3546472204299604
>mRNALoc_4566#207667,Extracellular Region,0.4419823541417459,Extracellular Region,0.4419823541417459,Cytoplasm,0.3856420732280085,Cytoplasm,0.5686796548369951,Cytoplasm,0.41136945796934843,Extracellular Region,0.47316490634101277,Cytoplasm,0.4804714320630121,Extracellular Region,0.6370600161660744,Extracellular Region,0.5378991661555801,Extracellular Region,0.46474935378878046,Cytoplasm,0.3432377913137471,Cytoplasm,0.3577265494463293
>mRNALoc_15835#72278,Extracellular Region,0.5468883688673941,Extracellular Region,0.5468883688673941,Nucleus,0.5466588067295115,Nucleus,0.5834430514601378,Nucleus,0.5811909070964094,Nucleus,0.5412821400369588,Nucleus,0.7132597226386239,Nucleus,0.5093656211249148,Extracellular Region,0.6369102711549147,Nucleus,0.5162419016745395,Nucleus,0.39448886212504136,Nucleus,0.43507320864154075
>mRNALoc_2295#13528,Extracellular Region,0.42058271677832687,Extracellular Region,0.42058271677832687,Cytoplasm,0.52974165075993,Cytoplasm,0.4830786043350547,Cytoplasm,0.43890741907560954,Extracellular Region,0.41206708791740143,Cytoplasm,0.5572456148327429,Extracellular Region,0.45978845843865007,Cytoplasm,0.3877823373134113,Cytoplasm,0.39614565542731445,Cytoplasm,0.3562561835094581,Cytoplasm,0.36955267414874354
>mRNALoc_3515#17840,Extracellular Region,0.8471969234903146,Extracellular Region,0.8471969234903146,Extracellular Region,0.8254940235498615,Extracellular Region,0.8349932574797382,Extracellular Region,0.8734897926008708,Extracellular Region,0.7709796671936768,Extracellular Region,0.8858410076259983,Extracellular Region,0.8282328574591301,Extracellular Region,0.8455533496668671,Extracellular Region,0.8408193349093086,Extracellular Region,0.6709762256020457,Extracellular Region,0.7275905953711334
>mRNALoc_5080#21885,Nucleus,0.4427579711875832,Nucleus,0.4427579711875832,Nucleus,0.5526232988272669,Nucleus,0.5435906590187634,Nucleus,0.6424666678304666,Extracellular Region,0.5760215781417309,Nucleus,0.4583854593678724,Nucleus,0.46988457404043527,Nucleus,0.4180882144606508,Nucleus,0.4561156204344,Nucleus,0.3963459800442393,Nucleus,0.4162691935076262
>mRNALoc_16339#75607,Cytoplasm,0.5899207830595464,Cytoplasm,0.5899207830595464,Cytoplasm,0.5987382728709644,Cytoplasm,0.7055353037702926,Cytoplasm,0.591245762575025,Cytoplasm,0.602180782134841,Cytoplasm,0.5641700051245581,Cytoplasm,0.5101088431243334,Cytoplasm,0.6539531240850621,Cytoplasm,0.584331703408764,Cytoplasm,0.49682302855206995,Cytoplasm,0.5259925868376346
>mRNALoc_1604#11980,Nucleus,0.6209996117069456,Nucleus,0.6209996117069456,Nucleus,0.6644716317663889,Nucleus,0.6897574101886651,Nucleus,0.7090624435714621,Nucleus,0.6550684862914923,Nucleus,0.5792674749123271,Nucleus,0.70385653242379,Nucleus,0.44684603490293506,Nucleus,0.6188201944204013,Nucleus,0.519245653073789,Nucleus,0.5524371668559931
>mRNALoc_1800#12395,Extracellular Region,0.3753983614072039,Extracellular Region,0.3753983614072039,Cytoplasm,0.5484658028274908,Extracellular Region,0.3856723889067123,Cytoplasm,0.4782478434816127,Extracellular Region,0.4939756895682176,Cytoplasm,0.5455389550962636,Cytoplasm,0.4025420463838992,Nucleus,0.3513527988901473,Cytoplasm,0.3861299392138792,Cytoplasm,0.3219532193221985,Cytoplasm,0.34334545928609206
>mRNALoc_3640#18190,Cytoplasm,0.47545860365196435,Cytoplasm,0.47545860365196435,Cytoplasm,0.4283560188821161,Endoplasmic Reticulum,0.38944864806067475,Cytoplasm,0.41660831280125526,Cytoplasm,0.5415947508610502,Cytoplasm,0.5653997955609914,Cytoplasm,0.5970896278286248,Extracellular Region,0.38421281317214073,Cytoplasm,0.4913848111343929,Cytoplasm,0.31660470012479036,Cytoplasm,0.3748647371279912
>mRNALoc_16827#78832,Nucleus,0.4953328452660306,Nucleus,0.4953328452660306,Nucleus,0.5111435179841163,Nucleus,0.468655602386652,Nucleus,0.6773504661007285,Nucleus,0.5225537782225853,Nucleus,0.48013569540678763,Nucleus,0.40932130456265176,Nucleus,0.6221046415334125,Nucleus,0.5422931771652331,Nucleus,0.3940929621805659,Nucleus,0.44349303384212163
>mRNALoc_6252#234797,Cytoplasm,0.5495518892481897,Cytoplasm,0.5495518892481897,Cytoplasm,0.5106468099535184,Extracellular Region,0.48544281072124607,Extracellular Region,0.46645903282241397,Cytoplasm,0.5753180322227582,Cytoplasm,0.5710690974938568,Cytoplasm,0.5877642362547644,Cytoplasm,0.6856317754694798,Cytoplasm,0.5659000252302688,Cytoplasm,0.38817480696853157,Cytoplasm,0.44741654638911066
>mRNALoc_1367#114893,Extracellular Region,0.48744899494428606,Extracellular Region,0.48744899494428606,Extracellular Region,0.5622343511579764,Extracellular Region,0.38071893767626513,Extracellular Region,0.4990676642108543,Extracellular Region,0.4975758802221678,Extracellular Region,0.434447409435202,Extracellular Region,0.5535369717814361,Nucleus,0.4033618677566923,Extracellular Region,0.4515605757151254,Extracellular Region,0.3835702557445627,Extracellular Region,0.40623369573475027
>mRNALoc_8622#330177,Extracellular Region,0.5199674627350913,Extracellular Region,0.5199674627350913,Extracellular Region,0.6194485735770445,Extracellular Region,0.5912727761143697,Extracellular Region,0.6089575171170796,Extracellular Region,0.5982438295758512,Extracellular Region,0.7419726201389063,Extracellular Region,0.5080026751512867,Extracellular Region,0.6523438843014101,Extracellular Region,0.6219041052569068,Extracellular Region,0.4501312550323194,Extracellular Region,0.5073888717738485
>mRNALoc_12730#56703,Extracellular Region,0.4717623881027215,Extracellular Region,0.4717623881027215,Cytoplasm,0.38189245373278413,Extracellular Region,0.5178542898626238,Cytoplasm,0.3894555851878509,Cytoplasm,0.5709035717444388,Extracellular Region,0.5565663572042885,Cytoplasm,0.44348758843966446,Extracellular Region,0.4558033389526975,Cytoplasm,0.42397471218819505,Extracellular Region,0.367235525021428,Extracellular Region,0.38587232511816943
>mRNALoc_16813#78697,Nucleus,0.5499257713792223,Nucleus,0.5499257713792223,Nucleus,0.7565421587257898,Nucleus,0.563856821974926,Nucleus,0.8306401548554206,Nucleus,0.6599354643294201,Nucleus,0.6642597018879082,Nucleus,0.6364858930409059,Nucleus,0.6064742921021394,Nucleus,0.6795591012431588,Nucleus,0.48405010469183213,Nucleus,0.549219770208941
>mRNALoc_6402#236732,Cytoplasm,0.43279057905167445,Cytoplasm,0.43279057905167445,Cytoplasm,0.43365526973061586,Nucleus,0.3619652247677182,Cytoplasm,0.5641983696940434,Extracellular Region,0.40836715809135044,Cytoplasm,0.42935078051185566,Cytoplasm,0.5569083370445099,Extracellular Region,0.41943211858844615,Cytoplasm,0.4155211137263112,Cytoplasm,0.3178391512143262,Cytoplasm,0.3503998053849879
>mRNALoc_5290#22310,Extracellular Region,0.5664273331997035,Extracellular Region,0.5664273331997035,Extracellular Region,0.6962732296235208,Extracellular Region,0.7435951571830711,Extracellular Region,0.7199611799028061,Extracellular Region,0.6911351049322793,Extracellular Region,0.7711805218789012,Extracellular Region,0.5035035119363362,Cytoplasm,0.4304805655625477,Extracellular Region,0.6155764734199823,Extracellular Region,0.5145446106411998,Extracellular Region,0.5482218982341274
>mRNALoc_11394#53357,Extracellular Region,0.503215769715972,Extracellular Region,0.503215769715972,Cytoplasm,0.44588763989429675,Extracellular Region,0.598307106183614,Cytoplasm,0.4230180228893408,Extracellular Region,0.48138773207332863,Extracellular Region,0.5216244711998121,Extracellular Region,0.5325656824314188,Extracellular Region,0.48226765886656203,Extracellular Region,0.4864856078061092,Extracellular Region,0.39872217045933633,Extracellular Region,0.4279766495749273
>mRNALoc_16105#74100,Extracellular Region,0.579985706304745,Extracellular Region,0.579985706304745,Nucleus,0.3188201811646872,Extracellular Region,0.5424469616526102,Cytoplasm,0.43830256842388804,Extracellular Region,0.5532494320406228,Cytoplasm,0.3554763952144286,Extracellular Region,0.5003105300440754,Extracellular Region,0.40157068473921037,Extracellular Region,0.3945515294443037,Extracellular Region,0.40090629339654704,Extracellular Region,0.3987880387457993
>mRNALoc_6628#242608,Extracellular Region,0.4957085566443347,Extracellular Region,0.4957085566443347,Cytoplasm,0.5951545469754449,Extracellular Region,0.650938642075933,Cytoplasm,0.4286507738320999,Extracellular Region,0.6105892150514898,Cytoplasm,0.5941800246507235,Extracellular Region,0.6534687608516189,Cytoplasm,0.4524406858630563,Extracellular Region,0.4295156554919428,Extracellular Region,0.3698328991245006,Extracellular Region,0.3897271512469813
>mRNALoc_4945#21665,Nucleus,0.5712664876271072,Nucleus,0.5712664876271072,Nucleus,0.67781255946811,Nucleus,0.5440383855570459,Nucleus,0.5283897539067366,Nucleus,0.5874864127531592,Nucleus,0.6054867158938229,Nucleus,0.5205747661335329,Nucleus,0.5867551477723225,Nucleus,0.5657385592919149,Nucleus,0.472876784055874,Nucleus,0.5038307091345543
