seq_name,PseEIIP_LightGBM_label,PseEIIP_LightGBM_score,TNC_LightGBM_label,TNC_LightGBM_score,DNC_LightGBM_label,DNC_LightGBM_score,CKSNAP_LightGBM_label,CKSNAP_LightGBM_score,PCPseDNC_LightGBM_label,PCPseDNC_LightGBM_score,PCPseTNC_LightGBM_label,PCPseTNC_LightGBM_score,SCPseDNC_LightGBM_label,SCPseDNC_LightGBM_score,SCPseTNC_LightGBM_label,SCPseTNC_LightGBM_score,DACC_LightGBM_label,DACC_LightGBM_score,Sequence-based_single-layer_label,Sequence-based_single-layer_LightGBM_score,Physicochemical property_single-layer_label,Physicochemical property_single-layer_LightGBM_score,two-layer_model_label,two-layer_model_score
>ID|24116|gene_id|72692|transcript_id|NM_144802 Hnrnpll Mus musculus mRNA ,Nucleus,0.6165660247233935,Nucleus,0.6165660247233935,Nucleus,0.6406478171947951,Nucleus,0.4718131324907606,Nucleus,0.5599182768267185,Nucleus,0.6799133169141732,Nucleus,0.6767552441205081,Nucleus,0.6602750294444675,Nucleus,0.47771093628184697,Nucleus,0.6109145607175428,Nucleus,0.4691185998264686,Nucleus,0.5163839201234933
>ID|3640|gene_id|13144|transcript_id|NM_001190474 Dapk3 Mus musculus mRNA ,Cytoplasm,0.7589258158746632,Cytoplasm,0.7589258158746632,Cytoplasm,0.5658615514623119,Cytoplasm,0.7472901623543706,Cytoplasm,0.6176606179041221,Cytoplasm,0.7614900993713759,Cytoplasm,0.6779963508251727,Cytoplasm,0.8073075801381946,Cytoplasm,0.7014494763134272,Cytoplasm,0.7131808249104584,Cytoplasm,0.5662006691132018,Cytoplasm,0.615194054378954
>ID|18643|gene_id|550619|transcript_id|NM_001017362 Arid3c Mus musculus mRNA ,Cytoplasm,0.8974622984145384,Cytoplasm,0.8974622984145384,Cytoplasm,0.901446267350685,Cytoplasm,0.8975481144980987,Cytoplasm,0.8931691404986726,Cytoplasm,0.8722384171746974,Cytoplasm,0.8189191173206083,Cytoplasm,0.8783335747242941,Cytoplasm,0.767091124395944,Cytoplasm,0.8459502748228431,Cytoplasm,0.718783795735572,Cytoplasm,0.7611726220979959
>ID|5264|gene_id|17305|transcript_id|NM_008595 Mfng Mus musculus mRNA ,Cytoplasm,0.8795428737496519,Cytoplasm,0.8795428737496519,Cytoplasm,0.7864735248642268,Cytoplasm,0.8274044669347377,Cytoplasm,0.7784788540106776,Cytoplasm,0.8233589941020248,Cytoplasm,0.8047165462741863,Cytoplasm,0.8933831261142194,Cytoplasm,0.7501535276891821,Cytoplasm,0.810018209638058,Cytoplasm,0.6745927478596536,Cytoplasm,0.7197345684524551
>ID|9005|gene_id|241514|transcript_id|NM_175513 Zfp804a Mus musculus mRNA ,Cytoplasm,0.5173774410514183,Cytoplasm,0.5173774410514183,Cytoplasm,0.7134524143509956,Cytoplasm,0.6430141662893254,Cytoplasm,0.7227144719343112,Cytoplasm,0.6339956781156756,Cytoplasm,0.6502327982087428,Cytoplasm,0.6954690868721347,Cytoplasm,0.6385194555072733,Cytoplasm,0.6681862981276275,Cytoplasm,0.4782442925486315,Cytoplasm,0.5415582944082968
>ID|17989|gene_id|53840|transcript_id|NM_021616 TRIM34 Homo sapiens mRNA ,Cytoplasm,0.7382491807188969,Cytoplasm,0.7382491807188969,Cytoplasm,0.5874528534432345,Cytoplasm,0.7288533774961725,Cytoplasm,0.6124465560361854,Cytoplasm,0.6600592122583978,Cytoplasm,0.5345916675995689,Cytoplasm,0.5150217886347026,Cytoplasm,0.5158337269932074,Cytoplasm,0.5675905903044125,Cytoplasm,0.5585609184754402,Cytoplasm,0.5615708090850976
>ID|7717|gene_id|22848|transcript_id|NM_014911 AAK1 Homo sapiens mRNA ,Cytoplasm,0.5827713886714039,Cytoplasm,0.5827713886714039,Cytoplasm,0.4734254882629553,Cytoplasm,0.5538659361290511,Cytoplasm,0.5377711524686943,Cytoplasm,0.44623849264799026,Cytoplasm,0.5777778229395721,Cytoplasm,0.5900737991771652,Cytoplasm,0.5203589570299172,Cytoplasm,0.5344440448526677,Cytoplasm,0.4385668403469628,Cytoplasm,0.4705259085155311
>ID|14169|gene_id|394|transcript_id|NM_001030055 ARHGAP5 Homo sapiens mRNA ,Cytoplasm,0.6912774181804594,Cytoplasm,0.6912774181804594,Cytoplasm,0.7054154124735296,Cytoplasm,0.6638841579019833,Cytoplasm,0.5633236560452998,Cytoplasm,0.6614378495353002,Cytoplasm,0.6547331413222508,Cytoplasm,0.7099429955100437,Cytoplasm,0.46296455006631865,Cytoplasm,0.6104804384958427,Cytoplasm,0.5503708813472864,Cytoplasm,0.5704074003968052
>ID|27890|gene_id|8573|transcript_id|NM_003688 CASK Homo sapiens mRNA ,Nucleus,0.4798793633339781,Nucleus,0.4798793633339781,Nucleus,0.5082810324475687,Cytoplasm,0.48411376763976777,Nucleus,0.4826850633481433,Nucleus,0.4617431934801561,Nucleus,0.5460986084570785,Nucleus,0.4947894850731506,Nucleus,0.7204276801700938,Nucleus,0.5411488061057245,Nucleus,0.38268061481211724,Nucleus,0.43550334524331963
>ID|14574|gene_id|4074|transcript_id|NM_002355 M6PR Homo sapiens mRNA ,Cytoplasm,0.5442621641896502,Cytoplasm,0.5442621641896502,Endoplasmic Reticulum,0.37095143723371576,Cytoplasm,0.3382190852193294,Cytoplasm,0.5242010562603238,Cytoplasm,0.5541936576728151,Nucleus,0.35654767272413906,Cytoplasm,0.5063541248619279,Nucleus,0.5243394703918919,Cytoplasm,0.43920574278102686,Cytoplasm,0.3566064865423773,Cytoplasm,0.3841395719552605
>ID|28509|gene_id|91351|transcript_id|NM_001012967 DDX60L Homo sapiens mRNA ,Nucleus,0.5679601510837984,Nucleus,0.5679601510837984,Nucleus,0.5686535263868121,Nucleus,0.5088280561182699,Nucleus,0.47097908663984434,Nucleus,0.5576223515425905,Nucleus,0.473956984938722,Nucleus,0.4178145466165709,Nucleus,0.5628668601113104,Nucleus,0.49664796596980765,Nucleus,0.44268037693453577,Nucleus,0.4606695732796264
>ID|19305|gene_id|55751|transcript_id|NM_018241 TMEM184C Homo sapiens mRNA ,Cytoplasm,0.5122590059634794,Cytoplasm,0.5122590059634794,Nucleus,0.5099557571939876,Cytoplasm,0.4035935294614454,Cytoplasm,0.4469311676677073,Cytoplasm,0.5425158595740961,Cytoplasm,0.48273664695405993,Cytoplasm,0.5919682998247333,Nucleus,0.5634516425572149,Cytoplasm,0.4799721738752754,Cytoplasm,0.3518310968514574,Cytoplasm,0.39454478919273006
>ID|37334|gene_id|283450|transcript_id|NM_001109662 HECTD4 Homo sapiens mRNA ,Cytoplasm,0.5156497092820943,Cytoplasm,0.5156497092820943,Cytoplasm,0.599337961054951,Cytoplasm,0.5030606860918471,Cytoplasm,0.5704908449171807,Cytoplasm,0.44821461992394257,Nucleus,0.4732969624316782,Cytoplasm,0.5570062304791186,Nucleus,0.48487368409921405,Cytoplasm,0.4803087867248349,Cytoplasm,0.4267396131421973,Cytoplasm,0.44459600433640983
>ID|17786|gene_id|52838|transcript_id|NM_001139504 Dnlz Mus musculus mRNA ,Cytoplasm,0.7438927982900355,Cytoplasm,0.7438927982900355,Cytoplasm,0.7733601772547666,Cytoplasm,0.8474298568507584,Cytoplasm,0.7229906042590106,Cytoplasm,0.7913306545858675,Cytoplasm,0.7752321000228909,Cytoplasm,0.7716165432914251,Cytoplasm,0.7984281618353076,Cytoplasm,0.7719196127989003,Cytoplasm,0.6217151261371192,Cytoplasm,0.671783288357713
>ID|21654|gene_id|6473|transcript_id|NM_000451 SHOX Homo sapiens mRNA ,Cytoplasm,0.6088379323409044,Cytoplasm,0.6088379323409044,Cytoplasm,0.7246083361528454,Cytoplasm,0.599184638723743,Cytoplasm,0.7630481647804148,Cytoplasm,0.5110071763162843,Cytoplasm,0.7679603475399129,Endoplasmic Reticulum,0.455804530651836,Cytoplasm,0.8023768865214752,Cytoplasm,0.6576628210896328,Cytoplasm,0.5082937679116795,Cytoplasm,0.5580834523043307
>ID|4012|gene_id|14008|transcript_id|NM_007959 Etv2 Mus musculus mRNA ,Cytoplasm,0.7585106235447865,Cytoplasm,0.7585106235447865,Cytoplasm,0.608364070143556,Cytoplasm,0.6510271598659837,Cytoplasm,0.4585914660115718,Cytoplasm,0.5597909179625011,Cytoplasm,0.5433729789486806,Cytoplasm,0.709644786344199,Cytoplasm,0.7336225140716284,Cytoplasm,0.6010045326677161,Cytoplasm,0.5552824954198226,Cytoplasm,0.5705231745024538
>ID|36254|gene_id|81603|transcript_id|NM_030912 TRIM8 Homo sapiens mRNA ,Cytoplasm,0.6933538480675694,Cytoplasm,0.6933538480675694,Cytoplasm,0.6806494867995216,Cytoplasm,0.6532652498857922,Cytoplasm,0.7580377200711103,Cytoplasm,0.5728595306248843,Cytoplasm,0.7448488656936014,Cytoplasm,0.6393995479764899,Cytoplasm,0.5825496757757499,Cytoplasm,0.6595390680283671,Cytoplasm,0.5441244865640906,Cytoplasm,0.5825960137188494
>ID|25075|gene_id|76900|transcript_id|NM_133772 Ssbp4 Mus musculus mRNA ,Cytoplasm,0.7059645907114577,Cytoplasm,0.7059645907114577,Cytoplasm,0.7027865692199207,Cytoplasm,0.8371759124564392,Cytoplasm,0.7542881063082365,Cytoplasm,0.6466176151371222,Cytoplasm,0.8187836455709319,Cytoplasm,0.7441529488046258,Cytoplasm,0.6689083519214575,Cytoplasm,0.7265501335484748,Cytoplasm,0.5903783326198551,Cytoplasm,0.635768932929395
>ID|22636|gene_id|6733|transcript_id|NM_182691 SRPK2 Homo sapiens mRNA ,Cytoplasm,0.5478731349768432,Cytoplasm,0.5478731349768432,Nucleus,0.4906376624908791,Cytoplasm,0.5111823127529544,Cytoplasm,0.4723218115995294,Cytoplasm,0.5015920529225396,Cytoplasm,0.4838436224555232,Cytoplasm,0.6659134766853122,Cytoplasm,0.4719651030237381,Cytoplasm,0.5191272133373285,Cytoplasm,0.40901108261908964,Cytoplasm,0.44571645952516925
>ID|6172|gene_id|20130|transcript_id|NM_009101 Rras Mus musculus mRNA ,Cytoplasm,0.7277151435650663,Cytoplasm,0.7277151435650663,Cytoplasm,0.7156862160655365,Cytoplasm,0.825035709672016,Cytoplasm,0.5910436909527016,Cytoplasm,0.6102471788379178,Cytoplasm,0.636371286872403,Cytoplasm,0.6295065426951144,Cytoplasm,0.7573517838195709,Cytoplasm,0.6449040966355415,Cytoplasm,0.5992304425735371,Cytoplasm,0.6144549939275386
>ID|6766|gene_id|213484|transcript_id|NM_153136 Nudt18 Mus musculus mRNA ,Cytoplasm,0.595767556213317,Cytoplasm,0.595767556213317,Cytoplasm,0.5071587809330459,Cytoplasm,0.5380573219035726,Cytoplasm,0.6531137363189359,Cytoplasm,0.6097193717057349,Cytoplasm,0.6193934092551223,Cytoplasm,0.6245588167880092,Cytoplasm,0.6602144859884265,Cytoplasm,0.6333999640112458,Cytoplasm,0.4473502430526505,Cytoplasm,0.5093668167055155
